                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                 1.1071,                0.56049,                 1.0009,                0.95622,                0.84685,                0.93923,                0.65407,                0.98885,                0.50314,                  1.006,              0.0093565,              0.0093565,              0.0093565
                     67,                 1.0715,                0.55549,                0.98289,                0.91635,                0.87297,                0.93467,                0.63846,                0.98327,                 0.5158,                 1.0085,              0.0093466,              0.0093466,              0.0093466
                     68,                 1.0692,                0.54769,                0.98208,                0.92832,                0.85398,                0.93414,                0.64271,                0.97058,                0.49028,                 1.0119,              0.0093367,              0.0093367,              0.0093367
                     69,                  1.101,                0.56061,                0.98511,                0.93227,                0.84341,                0.92111,                0.62436,                 1.0115,                0.49776,                 1.0279,              0.0093268,              0.0093268,              0.0093268
                     70,                 1.0826,                0.54879,                0.98108,                0.95644,                0.84907,                0.95012,                0.65053,                 1.0014,                0.46998,                 1.0009,              0.0093169,              0.0093169,              0.0093169
                     71,                  1.071,                0.55619,                 0.9699,                0.94018,                0.85675,                0.94258,                0.66143,                 0.9538,                0.47679,                0.99297,               0.009307,               0.009307,               0.009307
                     72,                 1.0773,                0.54408,                0.96797,                0.92758,                0.86981,                0.93142,                0.64436,                0.98083,                 0.4951,                  1.007,              0.0092971,              0.0092971,              0.0092971
                     73,                 1.0745,                 0.5381,                0.98854,                0.92751,                0.84348,                0.92841,                0.64515,                0.99493,                 0.5112,                 1.0185,              0.0092872,              0.0092872,              0.0092872
                     74,                 1.0541,                0.53481,                0.97695,                0.93111,                0.85554,                0.93594,                0.66125,                0.97205,                0.48996,                 1.0004,              0.0092773,              0.0092773,              0.0092773
                     75,                 1.0644,                0.53408,                0.97184,                0.94596,                0.86074,                0.94608,                0.66121,                0.97135,                0.47328,                 1.0014,              0.0092674,              0.0092674,              0.0092674
                     76,                 1.0691,                0.53938,                0.98589,                0.90764,                0.86885,                 0.9344,                0.63638,                0.99121,                 0.4955,                 1.0207,              0.0092575,              0.0092575,              0.0092575
                     77,                 1.0417,                0.52497,                0.97134,                 0.9052,                0.85034,                0.92548,                0.61806,                 1.0352,                0.52569,                 1.0302,              0.0092476,              0.0092476,              0.0092476
                     78,                 1.0828,                0.53411,                0.97537,                0.94382,                0.85448,                0.93275,                0.65213,                0.97065,                0.49259,                0.99925,              0.0092377,              0.0092377,              0.0092377
                     79,                 1.0523,                0.52405,                0.97493,                  0.945,                0.85825,                0.93807,                0.64762,                0.99172,                0.51334,                 1.0149,              0.0092278,              0.0092278,              0.0092278
                     80,                 1.0388,                0.52043,                0.96316,                0.93083,                0.85818,                0.94068,                0.65212,                0.96535,                0.49006,                0.99806,              0.0092179,              0.0092179,              0.0092179
                     81,                 1.0548,                0.52633,                0.97469,                 0.9466,                0.88501,                 0.9443,                0.65415,                0.96266,                0.49519,                0.99457,               0.009208,               0.009208,               0.009208
                     82,                 1.0352,                0.50452,                0.97257,                0.94542,                0.88658,                0.94227,                0.64804,                0.97125,                0.50468,                  1.004,              0.0091981,              0.0091981,              0.0091981
                     83,                 1.0527,                 0.5182,                0.98202,                 0.9303,                0.85465,                0.93866,                 0.6548,                0.98573,                0.51121,                 1.0032,              0.0091882,              0.0091882,              0.0091882
                     84,                 1.0404,                0.52394,                0.96824,                 0.9422,                0.86524,                0.93905,                0.66382,                0.95578,                0.48807,                0.99908,              0.0091783,              0.0091783,              0.0091783
                     85,                  1.039,                0.51656,                0.98119,                0.92935,                0.87076,                0.93463,                0.65373,                0.94287,                0.53651,                0.99748,              0.0091684,              0.0091684,              0.0091684
                     86,                 1.0194,                0.50881,                 0.9641,                 0.9623,                0.85032,                0.94451,                0.64929,                0.97969,                0.47076,                 1.0112,              0.0091585,              0.0091585,              0.0091585
                     87,                 1.0378,                 0.5151,                0.97267,                 0.9402,                0.86066,                0.94127,                0.65288,                0.96752,                0.47804,                 1.0028,              0.0091486,              0.0091486,              0.0091486
                     88,                  1.007,                 0.4929,                0.96964,                0.93174,                0.87225,                0.93905,                0.65151,                0.97519,                0.46479,                 1.0019,              0.0091387,              0.0091387,              0.0091387
                     89,                 1.0325,                0.50455,                0.96951,                0.94846,                0.85628,                 0.9432,                0.65402,                 0.9709,                0.47297,                 1.0022,              0.0091288,              0.0091288,              0.0091288
                     90,                 1.0314,                0.51633,                0.96328,                0.94144,                0.86559,                0.93993,                0.64518,                 1.0005,                 0.4987,                 1.0066,              0.0091189,              0.0091189,              0.0091189
                     91,                 1.0112,                0.51105,                0.96173,                0.94322,                0.85725,                0.94513,                0.65428,                0.98786,                0.47361,                 1.0182,               0.009109,               0.009109,               0.009109
                     92,                 1.0148,                0.50516,                0.96249,                0.94044,                0.88378,                 0.9407,                 0.6433,                0.98342,                 0.4826,                 1.0064,              0.0090991,              0.0090991,              0.0090991
                     93,                 1.0248,                0.51975,                0.96046,                0.95408,                0.87164,                0.93632,                0.65031,                0.97518,                0.47316,                 1.0036,              0.0090892,              0.0090892,              0.0090892
                     94,                 1.0253,                0.50137,                0.96238,                0.91481,                0.89463,                0.93795,                0.65444,                 0.9692,                0.48155,                 1.0072,              0.0090793,              0.0090793,              0.0090793
                     95,                 1.0122,                0.49827,                0.97082,                0.93972,                0.86715,                0.93699,                0.63455,                 1.0321,                0.49044,                 1.0238,              0.0090694,              0.0090694,              0.0090694
                     96,                 1.0055,                0.49161,                0.95918,                0.96201,                0.86073,                0.94409,                0.66014,                0.96081,                 0.4729,                0.99717,              0.0090595,              0.0090595,              0.0090595
                     97,                0.99113,                0.48788,                0.94953,                0.95972,                0.86771,                0.95002,                0.65918,                0.99521,                0.46517,                 1.0049,              0.0090496,              0.0090496,              0.0090496
                     98,                 1.0192,                0.51236,                0.95983,                0.90769,                0.87458,                0.94513,                 0.6475,                0.97618,                0.48903,                 1.0128,              0.0090397,              0.0090397,              0.0090397
                     99,                      1,                0.50131,                0.95481,                 0.9568,                0.86636,                0.94538,                0.67112,                0.92769,                0.45887,                 0.9862,              0.0090298,              0.0090298,              0.0090298
                    100,                0.98215,                0.48736,                0.95383,                0.94442,                  0.875,                0.94363,                0.66517,                0.94251,                0.46162,                0.99562,              0.0090199,              0.0090199,              0.0090199
                    101,                0.98504,                0.48083,                0.96012,                0.95747,                0.87129,                0.94297,                 0.6539,                0.97639,                0.47178,                  1.008,                0.00901,                0.00901,                0.00901
                    102,                0.99584,                0.48739,                0.95792,                0.95832,                0.87628,                0.94616,                0.66223,                0.97056,                0.46393,                 1.0101,              0.0090001,              0.0090001,              0.0090001
                    103,                 1.0045,                0.48887,                0.96566,                0.97039,                0.86957,                 0.9434,                0.65826,                0.95781,                0.49267,                 1.0099,              0.0089902,              0.0089902,              0.0089902
                    104,                0.99132,                 0.4814,                0.97197,                0.92354,                 0.8562,                0.92954,                 0.6392,                0.94973,                0.48736,                0.99646,              0.0089803,              0.0089803,              0.0089803
                    105,                0.98823,                 0.4868,                0.95836,                0.94462,                0.88207,                0.94729,                0.66125,                0.93882,                0.45392,                0.99989,              0.0089704,              0.0089704,              0.0089704
                    106,                0.99109,                0.48958,                0.95554,                0.95332,                0.87425,                0.94377,                0.66158,                0.93476,                0.48072,                0.99563,              0.0089605,              0.0089605,              0.0089605
                    107,                 0.9895,                 0.4798,                0.96725,                0.93575,                0.87681,                0.94227,                0.65922,                 0.9524,                0.48149,                0.99494,              0.0089506,              0.0089506,              0.0089506
                    108,                0.98868,                0.48484,                0.94985,                0.94122,                0.87423,                 0.9388,                0.65751,                0.95475,                0.48897,                0.99568,              0.0089407,              0.0089407,              0.0089407
                    109,                0.95868,                0.46995,                0.94871,                0.94887,                0.87753,                0.94642,                0.65714,                0.95059,                0.46047,                0.99238,              0.0089308,              0.0089308,              0.0089308
                    110,                0.97864,                0.48446,                0.94932,                 0.9379,                 0.8805,                0.94751,                0.66385,                0.95961,                0.46407,                 1.0015,              0.0089209,              0.0089209,              0.0089209
                    111,                0.96158,                0.47073,                0.94118,                0.95329,                0.86229,                0.94384,                0.65998,                0.94973,                0.47932,                0.99425,               0.008911,               0.008911,               0.008911
                    112,                0.98085,                0.48468,                0.94689,                0.94417,                 0.8742,                  0.949,                0.65705,                0.94394,                0.46353,                 1.0015,              0.0089011,              0.0089011,              0.0089011
